CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
8a5ab27c;P1D1L1;2648086886236893;20210419T135758;6050df4a7ae77b6ee7595856;20210419T135352;20210420T044352;43.0;100.0;0 days 14:50:00;;;;;V1.4(5);19.658
20210419T135352;0.0;;;;;;;;;;;;;;
20210419T135852;0.505;;;;;;;;;;;;;;
20210419T140352;1.015;;;;;;;;;;;;;;
20210419T140852;1.525;;;;;;;;;;;;;;
20210419T141352;2.035;;;;;;;;;;;;;;
20210419T141852;2.545;;;;;;;;;;;;;;
20210419T142352;3.057;;;;;;;;;;;;;;
20210419T142852;3.567;;;;;;;;;;;;;;
20210419T143352;4.078;;;;;;;;;;;;;;
20210419T143852;4.589;;;;;;;;;;;;;;
20210419T144352;5.1;;;;;;;;;;;;;;
20210419T144852;5.611;;;;;;;;;;;;;;
20210419T145352;6.124;;;;;;;;;;;;;;
20210419T145852;6.637;;;;;;;;;;;;;;
20210419T150352;7.148;;;;;;;;;;;;;;
20210419T150852;7.66;;;;;;;;;;;;;;
20210419T151352;8.171;;;;;;;;;;;;;;
20210419T151852;8.681;;;;;;;;;;;;;;
20210419T152352;9.192;;;;;;;;;;;;;;
20210419T152852;9.702;;;;;;;;;;;;;;
20210419T153352;10.213;;;;;;;;;;;;;;
20210419T153852;10.724;;;;;;;;;;;;;;
20210419T154352;11.233;;;;;;;;;;;;;;
20210419T154852;11.743;;;;;;;;;;;;;;
20210419T155352;12.253;;;;;;;;;;;;;;
20210419T155852;12.763;;;;;;;;;;;;;;
20210419T160352;13.272;;;;;;;;;;;;;;
20210419T160852;13.781;;;;;;;;;;;;;;
20210419T161352;14.289;;;;;;;;;;;;;;
20210419T161852;14.797;;;;;;;;;;;;;;
20210419T162352;15.304;;;;;;;;;;;;;;
20210419T162852;15.813;;;;;;;;;;;;;;
20210419T163352;16.326;;;;;;;;;;;;;;
20210419T163852;16.841;;;;;;;;;;;;;;
20210419T164352;17.356;;;;;;;;;;;;;;
20210419T164852;17.862;;;;;;;;;;;;;;
20210419T165352;18.282;;;;;;;;;;;;;;
