CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
7b4e3fd3;P1D1L1;5589452437931856;20210430T160449;5ff7435c2a485347f4890ca7;20210430T160402;20210430T195902;73.0;89.0;0 days 03:55:00;;;;;V1.4(5);13.141
20210430T160402;0.0;;;;;;;;;;;;;;
20210430T160902;0.584;;;;;;;;;;;;;;
20210430T161402;1.176;;;;;;;;;;;;;;
20210430T161902;1.768;;;;;;;;;;;;;;
20210430T162402;2.359;;;;;;;;;;;;;;
20210430T162902;2.95;;;;;;;;;;;;;;
20210430T163402;3.541;;;;;;;;;;;;;;
20210430T163902;4.13;;;;;;;;;;;;;;
20210430T164402;4.72;;;;;;;;;;;;;;
20210430T164902;5.31;;;;;;;;;;;;;;
20210430T165402;5.899;;;;;;;;;;;;;;
20210430T165902;6.488;;;;;;;;;;;;;;
20210430T170402;7.077;;;;;;;;;;;;;;
20210430T170902;7.666;;;;;;;;;;;;;;
20210430T171402;8.255;;;;;;;;;;;;;;
20210430T171902;8.843;;;;;;;;;;;;;;
20210430T172402;9.432;;;;;;;;;;;;;;
20210430T172902;10.021;;;;;;;;;;;;;;
20210430T173402;10.134;;;;;;;;;;;;;;
20210430T173902;10.236;;;;;;;;;;;;;;
20210430T174402;10.34;;;;;;;;;;;;;;
20210430T174902;10.443;;;;;;;;;;;;;;
20210430T175402;10.546;;;;;;;;;;;;;;
20210430T175902;10.649;;;;;;;;;;;;;;
20210430T180402;10.753;;;;;;;;;;;;;;
20210430T180902;10.856;;;;;;;;;;;;;;
20210430T181402;10.96;;;;;;;;;;;;;;
20210430T181902;11.064;;;;;;;;;;;;;;
20210430T182402;11.167;;;;;;;;;;;;;;
20210430T182902;11.271;;;;;;;;;;;;;;
20210430T183402;11.374;;;;;;;;;;;;;;
20210430T183902;11.478;;;;;;;;;;;;;;
20210430T184402;11.582;;;;;;;;;;;;;;
20210430T184902;11.686;;;;;;;;;;;;;;
20210430T185402;11.789;;;;;;;;;;;;;;
20210430T185902;11.893;;;;;;;;;;;;;;
20210430T190402;11.997;;;;;;;;;;;;;;
20210430T190902;12.101;;;;;;;;;;;;;;
20210430T191402;12.205;;;;;;;;;;;;;;
20210430T191902;12.309;;;;;;;;;;;;;;
20210430T192402;12.413;;;;;;;;;;;;;;
20210430T192902;12.517;;;;;;;;;;;;;;
20210430T193402;12.621;;;;;;;;;;;;;;
20210430T193902;12.725;;;;;;;;;;;;;;
20210430T194402;12.829;;;;;;;;;;;;;;
20210430T194902;12.933;;;;;;;;;;;;;;
20210430T195402;13.037;;;;;;;;;;;;;;
20210430T195902;13.141;;;;;;;;;;;;;;
