CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
14c0911f;P1D1L1;3418298816350541;20210330T042710;;20210330T042708;20210330T074708;65.0;100.0;0 days 03:20:00;;;;;V1.4(5);20.054
20210330T042708;0.0;;;;;;;;;;;;;;
20210330T043208;0.506;;;;;;;;;;;;;;
20210330T043708;1.017;;;;;;;;;;;;;;
20210330T044208;1.528;;;;;;;;;;;;;;
20210330T044708;2.039;;;;;;;;;;;;;;
20210330T045208;2.549;;;;;;;;;;;;;;
20210330T045708;3.06;;;;;;;;;;;;;;
20210330T050208;3.57;;;;;;;;;;;;;;
20210330T050708;4.081;;;;;;;;;;;;;;
20210330T051208;4.594;;;;;;;;;;;;;;
20210330T051708;5.106;;;;;;;;;;;;;;
20210330T052208;5.619;;;;;;;;;;;;;;
20210330T052708;6.133;;;;;;;;;;;;;;
20210330T053208;6.647;;;;;;;;;;;;;;
20210330T053708;7.161;;;;;;;;;;;;;;
20210330T054208;7.668;;;;;;;;;;;;;;
20210330T054708;8.109;;;;;;;;;;;;;;
20210330T055208;8.617;;;;;;;;;;;;;;
20210330T055708;9.127;;;;;;;;;;;;;;
20210330T060208;9.636;;;;;;;;;;;;;;
20210330T060708;10.145;;;;;;;;;;;;;;
20210330T061208;10.655;;;;;;;;;;;;;;
20210330T061708;11.165;;;;;;;;;;;;;;
20210330T062208;11.675;;;;;;;;;;;;;;
20210330T062708;12.022;;;;;;;;;;;;;;
20210330T063208;12.421;;;;;;;;;;;;;;
20210330T063708;12.931;;;;;;;;;;;;;;
20210330T064208;13.44;;;;;;;;;;;;;;
20210330T064708;13.95;;;;;;;;;;;;;;
20210330T065208;14.458;;;;;;;;;;;;;;
20210330T065708;14.966;;;;;;;;;;;;;;
20210330T070208;15.475;;;;;;;;;;;;;;
20210330T070708;15.984;;;;;;;;;;;;;;
20210330T071208;16.493;;;;;;;;;;;;;;
20210330T071708;17.003;;;;;;;;;;;;;;
20210330T072208;17.511;;;;;;;;;;;;;;
20210330T072708;18.02;;;;;;;;;;;;;;
20210330T073208;18.528;;;;;;;;;;;;;;
20210330T073708;19.036;;;;;;;;;;;;;;
20210330T074208;19.545;;;;;;;;;;;;;;
20210330T074708;20.054;;;;;;;;;;;;;;
