CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
7b4e3fd3;P1D1L1;8198749646832827;20210211T200857;5ff7435c2a485347f4890ca7;20210211T200845;20210211T212345;17.0;59.0;0 days 01:15:00;;;;;V1.2(3);8.889
20210211T200845;0.0;;;;;;;;;;;;;;
20210211T201345;0.587;;;;;;;;;;;;;;
20210211T201845;1.183;;;;;;;;;;;;;;
20210211T202345;1.779;;;;;;;;;;;;;;
20210211T202845;2.373;;;;;;;;;;;;;;
20210211T203345;2.967;;;;;;;;;;;;;;
20210211T203845;3.561;;;;;;;;;;;;;;
20210211T204345;4.153;;;;;;;;;;;;;;
20210211T204845;4.746;;;;;;;;;;;;;;
20210211T205345;5.339;;;;;;;;;;;;;;
20210211T205845;5.932;;;;;;;;;;;;;;
20210211T210345;6.524;;;;;;;;;;;;;;
20210211T210845;7.116;;;;;;;;;;;;;;
20210211T211345;7.708;;;;;;;;;;;;;;
20210211T211845;8.298;;;;;;;;;;;;;;
20210211T212345;8.889;;;;;;;;;;;;;;
