CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
14c0911f;P1D1L1;8412497421878053;20210324T150303;;20210324T150034;20210325T125034;36.0;100.0;0 days 21:50:00;;;;;V1.4(5);35.327
20210324T150034;0.0;;;;;;;;;;;;;;
20210324T150534;0.509;;;;;;;;;;;;;;
20210324T151034;1.023;;;;;;;;;;;;;;
20210324T151534;1.538;;;;;;;;;;;;;;
20210324T152034;2.052;;;;;;;;;;;;;;
20210324T152534;2.568;;;;;;;;;;;;;;
20210324T153034;3.083;;;;;;;;;;;;;;
20210324T153534;3.415;;;;;;;;;;;;;;
20210324T154034;3.764;;;;;;;;;;;;;;
20210324T154534;4.062;;;;;;;;;;;;;;
20210324T155034;4.368;;;;;;;;;;;;;;
20210324T155534;4.649;;;;;;;;;;;;;;
20210324T160034;4.953;;;;;;;;;;;;;;
20210324T160534;5.285;;;;;;;;;;;;;;
20210324T161034;5.623;;;;;;;;;;;;;;
20210324T161534;5.894;;;;;;;;;;;;;;
20210324T162034;6.239;;;;;;;;;;;;;;
20210324T162534;6.571;;;;;;;;;;;;;;
20210324T163034;6.891;;;;;;;;;;;;;;
20210324T163534;7.22;;;;;;;;;;;;;;
20210324T164034;7.554;;;;;;;;;;;;;;
20210324T164534;7.859;;;;;;;;;;;;;;
20210324T165034;8.181;;;;;;;;;;;;;;
20210324T165534;8.485;;;;;;;;;;;;;;
20210324T170034;8.827;;;;;;;;;;;;;;
20210324T170534;9.117;;;;;;;;;;;;;;
20210324T171034;9.425;;;;;;;;;;;;;;
20210324T171534;9.799;;;;;;;;;;;;;;
20210324T172034;10.094;;;;;;;;;;;;;;
20210324T172534;10.413;;;;;;;;;;;;;;
20210324T173034;10.718;;;;;;;;;;;;;;
20210324T173534;11.044;;;;;;;;;;;;;;
20210324T174034;11.334;;;;;;;;;;;;;;
20210324T174534;11.672;;;;;;;;;;;;;;
20210324T175034;11.975;;;;;;;;;;;;;;
