CPID;LOC;ChrgSessID;Time;EVID;PluginTime;PlugoutTime;SOCStart;SOCEnd;ChrgTime;MaxChACPower;MaxChDCPower;MaxDischACPower;MaxDischDCPower;SwID;PowerCh
20210317T074137;23.455;;;;;;;;;;;;;;
20210317T074637;23.487;;;;;;;;;;;;;;
20210317T075137;23.518;;;;;;;;;;;;;;
20210317T075637;23.549;;;;;;;;;;;;;;
20210317T080137;23.58;;;;;;;;;;;;;;
20210317T080637;23.611;;;;;;;;;;;;;;
20210317T081137;23.643;;;;;;;;;;;;;;
20210317T081637;23.674;;;;;;;;;;;;;;
20210317T082137;23.706;;;;;;;;;;;;;;
20210317T082637;23.737;;;;;;;;;;;;;;
20210317T083137;23.769;;;;;;;;;;;;;;
20210317T083637;23.8;;;;;;;;;;;;;;
20210317T084137;23.832;;;;;;;;;;;;;;
20210317T084637;23.863;;;;;;;;;;;;;;
20210317T085137;23.894;;;;;;;;;;;;;;
20210317T085637;23.926;;;;;;;;;;;;;;
20210317T090137;23.957;;;;;;;;;;;;;;
20210317T090637;23.989;;;;;;;;;;;;;;
20210317T091137;24.02;;;;;;;;;;;;;;
20210317T091637;24.051;;;;;;;;;;;;;;
20210317T092137;24.083;;;;;;;;;;;;;;
20210317T092637;24.114;;;;;;;;;;;;;;
20210317T093137;24.146;;;;;;;;;;;;;;
20210317T093637;24.177;;;;;;;;;;;;;;
20210317T094137;24.208;;;;;;;;;;;;;;
20210317T094637;24.24;;;;;;;;;;;;;;
20210317T095137;24.271;;;;;;;;;;;;;;
20210317T095637;24.303;;;;;;;;;;;;;;
20210317T100137;24.335;;;;;;;;;;;;;;
20210317T100637;24.366;;;;;;;;;;;;;;
20210317T101137;24.398;;;;;;;;;;;;;;
20210317T101637;24.429;;;;;;;;;;;;;;
20210317T102137;24.453;;;;;;;;;;;;;;
20210317T102637;24.453;;;;;;;;;;;;;;
20210317T103137;24.453;;;;;;;;;;;;;;
20210317T103637;24.453;;;;;;;;;;;;;;
20210317T104137;24.453;;;;;;;;;;;;;;
20210317T104637;24.453;;;;;;;;;;;;;;
20210317T105137;24.453;;;;;;;;;;;;;;
20210317T105637;24.454;;;;;;;;;;;;;;
20210317T110137;24.454;;;;;;;;;;;;;;
20210317T110637;24.454;;;;;;;;;;;;;;
20210317T111137;24.454;;;;;;;;;;;;;;
20210317T111637;24.454;;;;;;;;;;;;;;
20210317T112137;24.454;;;;;;;;;;;;;;
20210317T112637;24.454;;;;;;;;;;;;;;
20210317T113137;24.454;;;;;;;;;;;;;;
20210317T113637;24.454;;;;;;;;;;;;;;
20210317T114137;24.454;;;;;;;;;;;;;;
20210317T114637;24.454;;;;;;;;;;;;;;
20210317T115137;24.454;;;;;;;;;;;;;;
20210317T115637;24.454;;;;;;;;;;;;;;
20210317T120137;24.454;;;;;;;;;;;;;;
