LOC;Time;Start;End;Biomass;Lignite;Coal;Gas;HardCoal;Oil;Shale;Peat;Geothermal;HydroPumped;Hydro;Marine;Nuclear;OtherRES;Solar;Waste;WindOffShore;WindOnShore;SwID
ALL;20220102T120222;20210801T000000;20210801T001500;14.021370862653;0;0;3.0753192598384;5.2384675527756;0;0;0;0;0.31274433150899;8.3659108678655;0;26.062027625749;0.18243419338024;0;0;17.513682564504;22.569715923899;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T001500;20210801T003000;14.259259259259;0;0;3.1216931216931;5.4232804232804;0;0;0;0;0.31746031746032;8.4656084656085;0;26.481481481481;0.18518518518519;0;0;16.587301587302;22.460317460317;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T003000;20210801T004500;14.213197969543;0;0;3.1525514293348;5.6371894202511;0;0;0;0;0.32059845044082;8.6027250868287;0;26.716537536735;0.18701576275715;0;0;15.575741383917;22.869356131445;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T004500;20210801T010000;14.090431125131;0;0;3.1019978969506;5.7308096740273;0;0;0;0;0.36803364879075;8.4910620399579;0;26.314405888538;0.18401682439537;0;0;16.43007360673;22.60778128286;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T010000;20210801T011500;14.146469968388;0;0;3.1085353003161;5.795574288725;0;0;0;0;0.31612223393045;8.5616438356164;0;26.422550052687;0.18440463645943;0;0;16.675447839831;22.102212855638;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T011500;20210801T013000;14.266737513284;0;0;3.134962805526;5.4729011689692;0;0;0;0;0.34537725823592;8.6078639744952;0;26.673751328374;0.18597236981934;0;0;16.392136025505;22.21041445271;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T013000;20210801T014500;14.206349206349;0;0;3.1216931216931;5.0529100529101;0;0;0;0;0.31746031746032;8.5449735449735;0;26.560846560847;0.18518518518519;0;0;16.746031746032;22.566137566138;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T014500;20210801T020000;14.513513513514;0;0;3.1891891891892;4.9189189189189;0;0;0;0;0;8.7027027027027;0;27.162162162162;0.18918918918919;0;0;17.216216216216;21.351351351351;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T020000;20210801T021500;14.596357705898;0;0;3.2073933134004;4.4305517803751;0;0;0;0;0;8.7523783636858;0;27.290024463169;0.19026909486273;0;0;18.048382712694;20.712150040772;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120222;20210801T021500;20210801T023000;14.753647123589;0;0;3.2480044040738;3.7159372419488;0;0;0;0;0;8.8631984585742;0;27.635562895679;0.19267822736031;0;0;18.827415359207;19.955959262318;github.com/GreenCharge/PMC.gridmix
