HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210330T050000;0.36;;;;;
20210330T060000;1.21;;;;;
20210330T070000;3.14;;;;;
20210330T080000;2.68;;;;;
20210330T090000;3.28;;;;;
20210330T100000;2.82;;;;;
20210330T110000;2.30;;;;;
20210330T120000;2.96;;;;;
20210330T130000;2.80;;;;;
20210330T140000;3.51;;;;;
20210330T150000;2.52;;;;;
20210330T160000;3.02;;;;;
20210330T170000;3.09;;;;;
20210330T180000;3.12;;;;;
20210330T190000;3.84;;;;;
20210330T200000;2.41;;;;;
20210330T210000;2.93;;;;;
20210330T220000;2.91;;;;;
20210330T230000;2.60;;;;;
20210331T000000;2.69;;;;;
20210331T010000;2.38;;;;;
20210331T020000;1.70;;;;;
20210331T030000;0.37;;;;;
20210331T040000;0.02;;;;;
20210331T050000;0.51;;;;;
20210331T060000;0.85;;;;;
20210331T070000;2.04;;;;;
20210331T080000;1.83;;;;;
20210331T090000;2.58;;;;;
20210331T100000;2.81;;;;;
20210331T110000;4.69;;;;;
20210331T120000;4.37;;;;;
20210331T130000;2.94;;;;;
20210331T140000;4.22;;;;;
20210331T150000;3.27;;;;;
20210331T160000;3.52;;;;;
20210331T170000;3.38;;;;;
20210331T180000;5.26;;;;;
20210331T190000;3.99;;;;;
20210331T200000;3.89;;;;;
20210331T210000;3.21;;;;;
20210331T220000;2.93;;;;;
20210331T230000;2.82;;;;;
20210401T000000;2.38;;;;;
20210401T010000;3.31;;;;;
20210401T020000;1.99;;;;;
20210401T030000;2.13;;;;;
20210401T040000;2.63;;;;;
20210401T050000;1.90;;;;;
20210401T060000;0.01;;;;;
20210401T070000;0.25;;;;;
20210401T080000;0.23;;;;;
20210401T090000;2.84;;;;;
20210401T100000;2.93;;;;;
20210401T110000;3.60;;;;;
20210401T120000;2.90;;;;;
20210401T130000;4.37;;;;;
20210401T140000;3.83;;;;;
20210401T150000;2.64;;;;;
20210401T160000;2.86;;;;;
20210401T170000;3.08;;;;;
20210401T180000;3.43;;;;;
20210401T190000;2.95;;;;;
20210401T200000;3.67;;;;;
20210401T210000;3.46;;;;;
20210401T220000;2.71;;;;;
20210401T230000;3.02;;;;;
20210402T000000;3.25;;;;;
20210402T010000;2.34;;;;;
20210402T020000;2.07;;;;;
20210402T030000;2.16;;;;;
20210402T040000;2.10;;;;;
20210402T050000;2.20;;;;;
20210402T060000;1.09;;;;;
20210402T070000;0.52;;;;;
20210402T080000;0.63;;;;;
20210402T090000;1.70;;;;;
20210402T100000;2.74;;;;;
20210402T110000;2.45;;;;;
20210402T120000;3.45;;;;;
20210402T130000;3.13;;;;;
20210402T140000;3.26;;;;;
20210402T150000;4.27;;;;;
20210402T160000;3.03;;;;;
20210402T170000;3.56;;;;;
20210402T180000;3.67;;;;;
20210402T190000;6.90;;;;;
20210402T200000;5.25;;;;;
20210402T210000;3.15;;;;;
20210402T220000;2.74;;;;;
20210402T230000;2.93;;;;;
20210403T000000;2.64;;;;;
20210403T010000;2.55;;;;;
20210403T020000;2.07;;;;;
20210403T030000;2.37;;;;;
20210403T040000;2.07;;;;;
20210403T050000;2.17;;;;;
20210403T060000;2.42;;;;;
20210403T070000;0.99;;;;;
20210403T080000;0.64;;;;;
20210403T090000;1.78;;;;;
20210403T100000;2.90;;;;;
20210403T110000;2.95;;;;;
20210403T120000;3.57;;;;;
20210403T130000;2.78;;;;;
20210403T140000;2.88;;;;;
20210403T150000;2.55;;;;;
20210403T160000;2.92;;;;;
20210403T170000;3.10;;;;;
20210403T180000;2.97;;;;;
20210403T190000;2.80;;;;;
20210403T200000;4.72;;;;;
20210403T210000;3.08;;;;;
20210403T220000;3.90;;;;;
20210403T230000;2.23;;;;;
20210404T000000;3.13;;;;;
20210404T010000;2.82;;;;;
20210404T020000;3.36;;;;;
20210404T030000;2.98;;;;;
20210404T040000;2.52;;;;;
20210404T050000;1.68;;;;;
20210404T060000;0.42;;;;;
20210404T070000;0.27;;;;;
20210404T080000;1.24;;;;;
20210404T090000;2.81;;;;;
20210404T100000;2.74;;;;;
20210404T110000;2.89;;;;;
20210404T120000;3.35;;;;;
20210404T130000;2.88;;;;;
20210404T140000;2.64;;;;;
20210404T150000;2.87;;;;;
20210404T160000;3.00;;;;;
20210404T170000;2.80;;;;;
20210404T180000;0.07;;;;;
20210404T190000;2.96;;;;;
20210404T200000;3.03;;;;;
20210404T210000;3.24;;;;;
20210404T220000;2.33;;;;;
20210404T230000;3.38;;;;;
20210405T000000;2.92;;;;;
20210405T010000;3.03;;;;;
20210405T020000;2.60;;;;;
20210405T030000;2.31;;;;;
20210405T040000;0.88;;;;;
20210405T050000;0.09;;;;;
20210405T060000;0.67;;;;;
