HCID;SwID;Time;SetPt;AllowedDev;AST;AET
HeatPump1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T150000
20210330T050000;0.35;;;;;
20210330T060000;0.89;;;;;
20210330T070000;0.81;;;;;
20210330T080000;0.91;;;;;
20210330T090000;0.92;;;;;
20210330T100000;0.88;;;;;
20210330T110000;0.84;;;;;
20210330T120000;0.84;;;;;
20210330T130000;0.91;;;;;
20210330T140000;0.94;;;;;
20210330T150000;0.86;;;;;
20210330T160000;0.77;;;;;
20210330T170000;0.89;;;;;
20210330T180000;0.91;;;;;
20210330T190000;0.88;;;;;
20210330T200000;0.88;;;;;
20210330T210000;0.87;;;;;
20210330T220000;0.89;;;;;
20210330T230000;0.82;;;;;
20210331T000000;0.84;;;;;
20210331T010000;0.42;;;;;
20210331T020000;0.00;;;;;
20210331T030000;0.00;;;;;
20210331T040000;0.00;;;;;
20210331T050000;0.00;;;;;
20210331T060000;0.76;;;;;
20210331T070000;0.80;;;;;
20210331T080000;0.90;;;;;
20210331T090000;1.03;;;;;
20210331T100000;1.05;;;;;
20210331T110000;0.91;;;;;
20210331T120000;0.93;;;;;
20210331T130000;1.05;;;;;
20210331T140000;0.91;;;;;
20210331T150000;0.90;;;;;
20210331T160000;1.06;;;;;
20210331T170000;0.90;;;;;
20210331T180000;1.06;;;;;
20210331T190000;0.92;;;;;
20210331T200000;0.91;;;;;
20210331T210000;1.02;;;;;
20210331T220000;0.87;;;;;
20210331T230000;1.02;;;;;
20210401T000000;0.90;;;;;
20210401T010000;1.01;;;;;
20210401T020000;0.93;;;;;
20210401T030000;0.82;;;;;
20210401T040000;0.61;;;;;
20210401T050000;0.00;;;;;
20210401T060000;0.00;;;;;
20210401T070000;0.00;;;;;
20210401T080000;0.91;;;;;
20210401T090000;1.04;;;;;
20210401T100000;1.01;;;;;
20210401T110000;1.03;;;;;
20210401T120000;1.04;;;;;
20210401T130000;1.02;;;;;
20210401T140000;1.03;;;;;
20210401T150000;1.02;;;;;
20210401T160000;1.03;;;;;
20210401T170000;1.02;;;;;
20210401T180000;1.06;;;;;
20210401T190000;1.07;;;;;
20210401T200000;1.09;;;;;
20210401T210000;1.04;;;;;
20210401T220000;1.00;;;;;
20210401T230000;0.98;;;;;
20210402T000000;1.04;;;;;
20210402T010000;1.00;;;;;
20210402T020000;0.98;;;;;
20210402T030000;0.92;;;;;
20210402T040000;0.80;;;;;
