HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210322T010000;0.00;;;;;
20210322T020000;2.21;;;;;
20210322T030000;2.71;;;;;
20210322T040000;2.27;;;;;
20210322T050000;1.76;;;;;
20210322T060000;1.88;;;;;
20210322T070000;3.50;;;;;
20210322T080000;1.86;;;;;
20210322T090000;2.53;;;;;
20210322T100000;2.72;;;;;
20210322T110000;1.82;;;;;
20210322T120000;2.70;;;;;
20210322T130000;3.57;;;;;
20210322T140000;1.66;;;;;
20210322T150000;1.75;;;;;
20210322T160000;1.77;;;;;
20210322T170000;3.86;;;;;
20210322T180000;3.36;;;;;
20210322T190000;2.16;;;;;
20210322T200000;5.87;;;;;
20210322T210000;10.44;;;;;
20210322T220000;5.36;;;;;
20210322T230000;3.64;;;;;
20210323T000000;3.00;;;;;
20210323T010000;1.92;;;;;
20210323T020000;3.54;;;;;
20210323T030000;1.71;;;;;
20210323T040000;1.79;;;;;
20210323T050000;3.40;;;;;
20210323T060000;2.04;;;;;
20210323T070000;2.02;;;;;
20210323T080000;3.45;;;;;
20210323T090000;1.85;;;;;
20210323T100000;2.00;;;;;
20210323T110000;3.43;;;;;
20210323T120000;1.89;;;;;
20210323T130000;1.67;;;;;
20210323T140000;1.75;;;;;
20210323T150000;2.36;;;;;
20210323T160000;2.96;;;;;
20210323T170000;1.80;;;;;
20210323T180000;1.80;;;;;
20210323T190000;4.00;;;;;
20210323T200000;2.10;;;;;
20210323T210000;4.07;;;;;
20210323T220000;2.11;;;;;
20210323T230000;3.83;;;;;
20210324T000000;2.57;;;;;
20210324T010000;2.00;;;;;
20210324T020000;3.58;;;;;
20210324T030000;1.70;;;;;
20210324T040000;1.70;;;;;
20210324T050000;2.92;;;;;
20210324T060000;2.21;;;;;
20210324T070000;1.78;;;;;
20210324T080000;2.30;;;;;
20210324T090000;3.57;;;;;
20210324T100000;1.95;;;;;
20210324T110000;3.74;;;;;
20210324T120000;2.04;;;;;
20210324T130000;1.64;;;;;
20210324T140000;1.70;;;;;
20210324T150000;2.77;;;;;
20210324T160000;2.61;;;;;
20210324T170000;1.69;;;;;
20210324T180000;1.84;;;;;
20210324T190000;3.59;;;;;
20210324T200000;2.12;;;;;
20210324T210000;4.55;;;;;
20210324T220000;3.20;;;;;
20210324T230000;4.05;;;;;
20210325T000000;1.75;;;;;
20210325T010000;1.74;;;;;
20210325T020000;3.51;;;;;
20210325T030000;1.73;;;;;
20210325T040000;1.82;;;;;
20210325T050000;0.00;;;;;
20210325T060000;3.32;;;;;
20210325T070000;3.52;;;;;
20210325T080000;1.94;;;;;
20210325T090000;2.74;;;;;
20210325T100000;4.05;;;;;
20210325T110000;1.97;;;;;
20210325T120000;4.19;;;;;
20210325T130000;1.70;;;;;
20210325T140000;1.73;;;;;
20210325T150000;1.76;;;;;
20210325T160000;3.96;;;;;
20210325T170000;2.05;;;;;
20210325T180000;4.44;;;;;
20210325T190000;1.72;;;;;
20210325T200000;3.95;;;;;
20210325T210000;8.10;;;;;
