MakeM;Type;Capacity;CEfficiency;DisCEfficiency;MaxCPower;MaxDisCPower;Cycle
47BA4EB2-1ABC-4778-A14D-8574A952D66F;redoxflow;100;0.8;0.8;10;10;null
72528559-B5F2-491B-AAF1-9E71CE0040C5;other;27;0.95;0.95;12;30;3000
