SensorID;LOC;EntryTime;ExitTime;MakeM;SUBLOC
0f8ef245-ffc1-4d68-841b-90fc918d33b9;P2D1L1;20201009T000000;null;53e48e18-5a28-4c21-95b9-6f05ea7827fb;null
b0aa281c-75f0-4562-a3dd-44dedfc86136;P2D1L1;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
dd10892c-0be8-4d5b-9b64-f37c020f0513;P2D1L1;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
e645955f-4f67-4ac6-bebb-dd74e895704c;P2D1L1;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
ee9e2f15-475d-4d7e-9c41-407d90af7afe;P2D1L1;20201001T122144;null;53e48e18-5a28-4c21-95b9-6f05ea7827fb;null
a3ad1213-134c-4829-b001-698f9951629f;P2D1L1;20201001T122144;null;53e48e18-5a28-4c21-95b9-6f05ea7827fb;null
9e0ef5c2-a017-4913-927e-3e30b9700005;P2D1L4;20200101T122144;null;3b076b51-1fc8-4bdc-b11d-5d76b1a64b33;null
556c7295-f439-43ae-a78a-da8830a123a4;P2D1L4;20200101T122144;null;4250d42a-9be4-44b8-8e2c-e6d8aec3b014;null
12694f84-6975-43f2-89a9-fdcb3eb40ac0;P2D1L2;20200101T122144;null;29107397-cdbb-4228-9a12-b660caa9a22d;null
56a2cc35-bf9d-4999-b58e-4e2b2b8830b8;P2D1L3;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
fc0b0260-b18f-4c16-8ab2-1c53e0a4d1e6;P2D1L3;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
aba20e1f-b69c-4a9e-9bf7-2d82b2f5b51e;P2D1L3;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
a2ebd9c2-5de3-4937-814b-f04f9880d479;P2D1L3;20200101T122144;null;5bbbefc7-56f0-4ecb-839c-a20a09de556f;null
a3ad1213-134c-4829-b001-698f9951629f;P2D1L3;20201201T120000;null;68cb71f7-e133-4e3d-9b00-905acf08ac2e;null
