LOC;Time;Start;End;Biomass;Lignite;Coal;Gas;HardCoal;Oil;Shale;Peat;Geothermal;HydroPumped;Hydro;Marine;Nuclear;OtherRES;Solar;Waste;WindOffShore;WindOnShore;SwID
ALL;20220102T120219;20191001T000000;20191001T001500;15.231591448931;0;0;8.8182897862233;4.6615201900238;0;0;0;0;0.05938242280285;5.0178147268409;0;29.097387173397;0.089073634204276;0;0;3.9192399049881;32.541567695962;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T001500;20191001T003000;15.668906536347;0;0;8.9187538179597;4.6731826511912;0;0;0;0;0;5.1924251679902;0;29.718998167379;0.091631032376298;0;0;3.5736102626756;31.582162492364;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T003000;20191001T004500;15.905560733147;0;0;8.7604846225536;4.6908977943461;0;0;0;0;0;5.3432743087915;0;30.195712954334;0.093196644920783;0;0;3.3550792171482;31.065548306928;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T004500;20191001T010000;16.191381495564;0;0;8.93536121673;4.6894803548796;0;0;0;0;0;5.5449936628644;0;30.544993662864;0.095057034220532;0;0;2.8833967046895;30.513307984791;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T010000;20191001T011500;16.46793425717;0;0;8.7012568482114;4.6728971962617;0;0;0;0;0;5.6719303899452;0;31.26007089913;0.096680631646793;0;0;2.481469545601;30.035449564937;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T011500;20191001T013000;16.585524180461;0;0;8.9256734826355;4.5764362220058;0;0;0;0;0;5.744888023369;0;31.548198636806;0.097370983446933;0;0;2.2395326192795;29.665692956832;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T013000;20191001T014500;16.72131147541;0;0;9.016393442623;4.4918032786885;0;0;0;0;0;5.7704918032787;0;31.901639344262;0.098360655737705;0;0;2.2295081967213;29.147540983607;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T014500;20191001T020000;16.876240900066;0;0;9.0999338186631;4.3348775645268;0;0;0;0;0;5.8570483123759;0;32.197220383852;0.099272005294507;0;0;1.9523494374586;28.954334877565;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T020000;20191001T021500;17.258883248731;0;0;8.2571912013536;4.331641285956;0;0;0;0;0;6.0236886632826;0;33.299492385787;0.10152284263959;0;0;1.8612521150592;28.189509306261;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T021500;20191001T023000;17.543859649123;0;0;7.7743378052976;4.4031647746818;0;0;0;0;0;6.0199518403853;0;33.918128654971;0.1031991744066;0;0;1.7199862401101;27.829377364981;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T023000;20191001T024500;17.739130434783;0;0;7.8260869565217;4.6260869565217;0;0;0;0;0;6.1565217391304;0;34.295652173913;0.10434782608696;0;0;1.6;26.95652173913;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T024500;20191001T030000;17.801047120419;0;0;7.8534031413613;4.7120418848168;0;0;0;0;0;6.2129144851658;0;34.415357766143;0.10471204188482;0;0;1.326352530541;26.876090750436;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T030000;20191001T031500;17.755385684503;0;0;8.2696316886727;4.6560111188325;0;0;0;0;0;6.1501042390549;0;34.259902710215;0.10423905489924;0;0;0.90340514246004;27.2063933287;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T031500;20191001T033000;17.761557177616;0;0;8.3072645116441;4.6576294751477;0;0;0;0;0;6.1174834897463;0;34.237052485228;0.10427528675704;0;0;0.66041014946124;27.45915884602;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T033000;20191001T034500;17.811084001394;0;0;8.3304287208086;4.6706169397002;0;0;0;0;0;6.1345416521436;0;34.332520041826;0.10456605088881;0;0;0.52283025444406;27.396305332869;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T034500;20191001T040000;17.763845350052;0;0;8.3246255660049;4.6325322187391;0;0;0;0;0;6.1302681992337;0;34.343434343434;0.10449320794148;0;0;0.34831069313828;27.655869035179;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T040000;20191001T041500;17.917251051893;0;0;8.2398316970547;4.6283309957924;0;0;0;0;0;6.1711079943899;0;34.396914446003;0.10518934081346;0;0;0.2805049088359;27.594670406732;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T041500;20191001T043000;17.80487804878;0;0;8.1533101045296;4.7735191637631;0;0;0;0;0;6.1324041811847;0;34.146341463415;0.10452961672474;0;0;0.59233449477352;27.630662020906;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T043000;20191001T044500;17.661262504312;0;0;8.0717488789238;4.8982407726802;0;0;0;0;0;6.0020696791997;0;33.804760262159;0.1034839599862;0;0;0.75888237323215;28.044153156261;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T044500;20191001T050000;17.506811989101;0;0;7.9700272479564;5.0068119891008;0;0;0;0;0;6.0967302452316;0;33.378746594005;0.10217983651226;0;0;0.88555858310627;28.405994550409;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T050000;20191001T051500;16.934689858878;0;0;9.255004922875;5.1197899573351;0;0;0;0;0;6.2028224483098;0;32.589432228421;0.098457499179521;0;0;0.98457499179521;28.158844765343;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T051500;20191001T053000;16.35101010101;0;0;9.9747474747475;6.4078282828283;0;0;0;0;0;5.9974747474747;0;31.376262626263;0.09469696969697;0;0;1.3257575757576;27.840909090909;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T053000;20191001T054500;15.958102279729;0;0;10.012322858903;6.7467652495379;0;0;0;0;0.36968576709797;5.6069008009858;0;30.406654343808;0.092421441774492;0;0;1.7560073937153;28.434996919285;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T054500;20191001T060000;15.620306398318;0;0;10.063082006609;7.5097626914989;0;0;0;0;0.15019525382998;5.3169119855813;0;29.588465004506;0.090117152297987;0;0;2.3730850105137;28.687293481526;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T060000;20191001T061500;15.218658892128;0;0;10.553935860058;8.1632653061224;0;0;0;0;0.029154518950437;5.1020408163265;0;28.454810495627;0.087463556851312;0;0;3.3819241982507;28.425655976676;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T061500;20191001T063000;14.658071748879;0;0;10.257847533632;8.7443946188341;0;0;0;0;0.47645739910314;4.9607623318386;0;27.410313901345;0.084080717488789;0;0;4.3161434977578;28.531390134529;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T063000;20191001T064500;14.223669923996;0;0;10.043431053203;9.4462540716612;0;0;0;0;0.542888165038;4.8588490770901;0;26.71009771987;0.0814332247557;0;0;4.885993485342;28.664495114007;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T064500;20191001T070000;13.773239067819;0;0;9.7669547001833;10.028803351663;0;0;0;0;0.83791568473422;4.6085362660382;0;26.027755957057;0.078554595443833;0;0;5.4726368159204;28.881906258183;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T070000;20191001T071500;13.287947554211;0;0;9.8587997982854;10.211800302572;0;0;0;0;1.3363590519415;4.6142208774584;0;25.340393343419;0.075642965204236;0;0;6.0010085728694;28.74432677761;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T071500;20191001T073000;12.92934249264;0;0;9.5927379784102;10.353287536801;0;0;0;0;2.3552502453386;4.3915603532875;0;24.705593719333;0.07360157016683;0.19627085377821;0;6.378802747792;28.508341511286;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T073000;20191001T074500;12.511893434824;0;0;9.3006660323501;10.109419600381;0;0;0;0;2.7592768791627;4.18648905804;0;24.000951474786;0.071360608943863;1.2131303520457;0;6.9695528068506;28.37773549001;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T074500;20191001T080000;12.203626220363;0;0;9.0887959088796;9.9721059972106;0;0;0;0;2.092050209205;4.091120409112;0;23.477452347745;0.069735006973501;2.649930264993;0;7.7870757787076;28.079962807996;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T080000;20191001T081500;11.829652996845;0;0;9.5313204146012;9.8918431726003;0;0;0;0;1.4646237043713;4.01081568274;0;22.757999098693;0.067598017124831;4.3488057683641;0;7.999098693105;27.625056331681;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T081500;20191001T083000;11.400651465798;0;0;9.185667752443;9.5548317046688;0;0;0;0;1.4115092290988;3.8870792616721;0;21.954397394137;0.06514657980456;6.1454940282302;0;8.4039087947883;27.535287730727;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T083000;20191001T084500;11.167728237792;0;0;8.9808917197452;9.4055201698514;0;0;0;0;0.48832271762208;3.9065817409766;0;21.464968152866;0.063694267515924;7.9830148619958;0;8.5138004246284;27.579617834395;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T084500;20191001T090000;10.81136738056;0;0;8.7108731466227;9.0403624382208;0;0;0;0;0.67957166392092;3.8920922570016;0;20.799011532125;0.061779242174629;9.6169686985173;0;9.0403624382208;26.915156507414;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T090000;20191001T091500;10.395256916996;0;0;8.2213438735178;8.4782608695652;0;0;0;0;2.3517786561265;3.7747035573123;0;19.9604743083;0.059288537549407;10.98814229249;0;9.3675889328063;25.98814229249;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T091500;20191001T093000;10.172447200155;0;0;8.0604534005038;8.2542142995544;0;0;0;0;1.9376089905057;3.720209261771;0;19.550474714203;0.058128269715171;12.381321449332;0;9.5911645030033;25.867080023251;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T093000;20191001T094500;9.9980956008379;0;0;7.9223005141878;8.017520472291;0;0;0;0;1.4092553799276;3.4660064749572;0;19.215387545229;0.057131974861931;13.921157874691;0;9.3315558941154;26.261664444868;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T094500;20191001T100000;9.8072244057646;0;0;7.8046041549691;7.7110237694179;0;0;0;0;0.69249485307879;3.3688938798428;0;18.88452180423;0.056148231330713;15.253602844844;0;9.5451993262212;26.483249110986;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T100000;20191001T101500;9.3399750933998;0;0;7.4186087884718;7.4363992172211;0;0;0;0;2.4372887386586;3.3979718911226;0;17.950542608077;0.053371286247999;16.207080590642;0;10.229496530866;25.155666251557;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T101500;20191001T103000;9.2429577464789;0;0;7.3415492957746;7.2183098591549;0;0;0;0;1.056338028169;3.1866197183099;0;17.764084507042;0.052816901408451;17.781690140845;0;10.56338028169;25.422535211268;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T103000;20191001T104500;9.0360406966718;0;0;7.1736506294189;7.0529401620969;0;0;0;0;1.0346611484739;3.1384721503708;0;17.365062941887;0.051733057423694;18.589411967581;0;10.432833247112;25.763062596999;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T104500;20191001T110000;8.7736956886428;0;0;6.9786948498574;6.7773863445731;0;0;0;0;1.3923838282167;3.0196275792652;0;16.893138735112;0.050327126321087;18.872672370408;0;10.468042274786;26.421741318571;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T110000;20191001T111500;8.6118886876338;0;0;6.7347274822987;6.3560019759592;0;0;0;0;1.1361765190186;2.9804050716285;0;16.581590647127;0.049398979087766;19.413798781492;0;10.867775399308;26.922443602832;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T111500;20191001T113000;8.5311937121336;0;0;6.6972326838055;6.1896184706075;0;0;0;0;1.0807270345505;3.0129359751105;0;16.472899950876;0.049123956115933;20.304568527919;0;9.6446700507614;27.673161945309;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T113000;20191001T114500;8.576582486061;0;0;6.7071170875697;6.0839619547393;0;0;0;0;0.5739586749754;2.9845851098721;0;16.480813381437;0.049196457855034;21.023286323385;0;8.609380124631;28.56674319449;github.com/GreenCharge/PMC.gridmix
ALL;20220102T120219;20191001T114500;20191001T120000;8.4545748464274;0;0;6.6117038473973;5.8842547688328;0;0;0;0;0.56579372777239;2.8774652440996;0;16.246362754607;0.048496605237633;21.225347559004;0;8.6808923375364;29.065632072422;github.com/GreenCharge/PMC.gridmix
