PriceModelID;LOC;Type;EntryTime;ExitTime;Payer;Receiver;TariffID
9f47cfe4-19f9-4aab-b021-d03214749d86;ALL;Charging;20200101T000000;null;"EV User";Propertyowner/renter;"[\"69ed5b2a-89f8-4ce9-8633-abc3bba974fa\"]"
c31388ac-646a-4518-827b-6993274ff630;ALL;Charging;20220101T000000;null;"EV User";Propertyowner/renter;"[\"0404aba5-e0a3-4deb-b7c2-c2e0d527c529\"]"
