LOC;Demo;EntryTime;ExitTime;MeterID;MaxPower
P3D2L1;P3D2;20200901T000000;NULL;c6948e44-7a7e-11eb-9439-0242ac130002;9.2
P3D2L2;P3D2;20210227T000000;NULL;204d697e-7a7f-11eb-9439-0242ac130002;320
