EVID;EntryTime;ExitTime;Distance;MakeM
119b4e1b-2e03-47d3-8437-153640a4ebab;20200101T000000;null;null;947ff82f-f829-4a41-9ea7-8a4a5eab95c0
c29b6b28-9814-42e4-90c5-4974dca98697;20210101T000000;null;null;c469bcd9-5e9f-41ad-a7d5-05ba84aec58c
9270b625-76ce-42e1-a87a-b82da8dc1fda;20210101T000000;null;null;b41c4f97-ec98-4d29-8995-78076aa08f05
f2cf7e54-1b0e-4f70-a59d-a2f96c3361f9;20210101T000000;null;null;5e3f361b-f66c-4365-88fe-654b6da75c3a
4b8d1c4e-1994-48f1-b0ed-be6bda66a954;20210101T000000;null;null;5a083479-139e-4b2c-b483-0f8eb282aa6a
0feec980-8aea-4969-8d01-4e6e8541ea7f;20210101T000000;null;null;5a083479-139e-4b2c-b483-0f8eb282aa6a
9c2a9716-f82f-4d27-b83c-b314341dc47a;20210101T000000;null;null;5a083479-139e-4b2c-b483-0f8eb282aa6a
38d7eb02-68ad-453f-87f0-fcd62f3092a1;20210101T000000;null;null;5a083479-139e-4b2c-b483-0f8eb282aa6a
bd40b0df-c645-41c5-86a6-d982d6b904ee;20210101T000000;null;null;null
6b84db98-d0b7-4aa8-b5d3-65f0f893c0f4;20210101T000000;null;null;ef3366a4-05ee-4eba-ae9e-7045a5d501cc
d7dd98a8-b56c-4445-9c6d-b0beb853fce0;20210101T000000;null;null;c469bcd9-5e9f-41ad-a7d5-05ba84aec58c
4186aec5-f72b-4123-812f-1a092932822f;20210101T000000;null;null;3070c85f-e082-4972-bde8-7df27bb53598
6fd498fc-1aad-41dd-9545-6f0ec57c79b3;20210101T000000;null;null;736d20f1-d137-43bc-b7c3-631de8254a08
