1616371200.0;0.00
1616374800.0;5.81
1616378400.0;4.24
1616382000.0;5.83
1616385600.0;6.15
1616389200.0;5.76
1616392800.0;6.49
1616396400.0;9.82
1616400000.0;7.62
1616403600.0;7.91
1616407200.0;10.00
1616410800.0;12.26
1616414400.0;12.18
1616418000.0;10.04
1616421600.0;12.54
1616425200.0;10.03
1616428800.0;9.10
1616432400.0;12.28
1616436000.0;9.99
1616439600.0;10.07
1616443200.0;10.00
1616446800.0;11.67
1616450400.0;9.35
1616454000.0;6.15
1616457600.0;5.14
1616461200.0;5.06
1616464800.0;3.03
1616468400.0;5.33
1616472000.0;6.10
1616475600.0;7.00
1616479200.0;8.69
1616482800.0;10.01
1616486400.0;8.59
1616490000.0;8.97
1616493600.0;9.23
1616497200.0;13.64
1616500800.0;10.05
1616504400.0;7.59
1616508000.0;7.72
1616511600.0;10.08
1616515200.0;10.03
1616518800.0;8.18
1616522400.0;10.08
1616526000.0;8.69
1616529600.0;10.10
1616533200.0;12.70
1616536800.0;8.83
1616540400.0;6.56
1616544000.0;5.20
1616547600.0;3.01
1616551200.0;6.38
1616554800.0;5.95
1616558400.0;5.74
1616562000.0;2.96
1616565600.0;6.18
1616569200.0;6.68
1616572800.0;8.99
1616576400.0;10.06
1616580000.0;10.09
1616583600.0;11.03
1616587200.0;11.17
1616590800.0;10.04
1616594400.0;11.37
1616598000.0;12.46
1616601600.0;9.11
1616605200.0;10.04
1616608800.0;10.03
1616612400.0;10.06
1616616000.0;10.10
1616619600.0;8.58
1616623200.0;10.10
1616626800.0;6.26
1616630400.0;5.39
1616634000.0;3.65
1616637600.0;5.40
1616641200.0;4.83
1616644800.0;5.23
1616648400.0;6.50
1616652000.0;5.65
1616655600.0;8.15
1616659200.0;8.82
1616662800.0;10.60
1616666400.0;12.47
1616670000.0;10.02
1616673600.0;10.10
1616677200.0;10.17
1616680800.0;11.91
1616684400.0;10.03
1616688000.0;14.51
1616691600.0;10.01
1616695200.0;11.19
1616698800.0;11.98
1616702400.0;12.24
1616706000.0;10.09
1616709600.0;10.01
1616713200.0;6.24
1616716800.0;4.01
