HCID;SwID;Time;SetPt;AllowedDev;AST;AET
HeatPump2;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T150000
20210407T100000;0.75;;;;;
20210407T110000;0.89;;;;;
20210407T120000;0.89;;;;;
20210407T130000;0.85;;;;;
20210407T140000;0.81;;;;;
20210407T150000;0.89;;;;;
20210407T160000;0.91;;;;;
20210407T170000;0.90;;;;;
20210407T180000;0.90;;;;;
20210407T190000;0.82;;;;;
20210407T200000;0.81;;;;;
20210407T210000;0.88;;;;;
20210407T220000;0.76;;;;;
20210407T230000;0.86;;;;;
20210408T000000;0.82;;;;;
20210408T010000;0.81;;;;;
20210408T020000;0.92;;;;;
20210408T030000;0.91;;;;;
20210408T040000;0.90;;;;;
20210408T050000;0.91;;;;;
20210408T060000;0.94;;;;;
20210408T070000;0.91;;;;;
20210408T080000;0.92;;;;;
20210408T090000;0.92;;;;;
20210408T100000;0.90;;;;;
20210408T110000;0.89;;;;;
20210408T120000;0.89;;;;;
20210408T130000;0.90;;;;;
20210408T140000;0.86;;;;;
20210408T150000;0.92;;;;;
20210408T160000;0.89;;;;;
20210408T170000;0.74;;;;;
20210408T180000;0.89;;;;;
20210408T190000;0.74;;;;;
20210408T200000;0.82;;;;;
20210408T210000;0.79;;;;;
20210408T220000;0.74;;;;;
20210408T230000;0.82;;;;;
20210409T000000;0.68;;;;;
20210409T010000;0.79;;;;;
20210409T020000;0.69;;;;;
20210409T030000;0.80;;;;;
20210409T040000;0.78;;;;;
20210409T050000;0.78;;;;;
20210409T060000;0.79;;;;;
20210409T070000;0.74;;;;;
20210409T080000;0.84;;;;;
20210409T090000;0.73;;;;;
20210409T100000;0.86;;;;;
20210409T110000;0.71;;;;;
20210409T120000;0.86;;;;;
20210409T130000;0.71;;;;;
20210409T140000;0.86;;;;;
20210409T150000;0.58;;;;;
