HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater2;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210322T010000;0.00;;;;;
20210322T020000;5.30;;;;;
20210322T030000;5.04;;;;;
20210322T040000;5.98;;;;;
20210322T050000;5.68;;;;;
20210322T060000;5.69;;;;;
20210322T070000;7.02;;;;;
20210322T080000;8.62;;;;;
20210322T090000;7.32;;;;;
20210322T100000;6.75;;;;;
20210322T110000;7.26;;;;;
20210322T120000;10.45;;;;;
20210322T130000;7.12;;;;;
20210322T140000;6.25;;;;;
20210322T150000;6.37;;;;;
20210322T160000;7.12;;;;;
20210322T170000;9.90;;;;;
20210322T180000;6.86;;;;;
20210322T190000;6.73;;;;;
20210322T200000;9.91;;;;;
20210322T210000;9.86;;;;;
20210322T220000;8.29;;;;;
20210322T230000;7.02;;;;;
20210323T000000;5.44;;;;;
20210323T010000;5.06;;;;;
20210323T020000;5.10;;;;;
20210323T030000;6.04;;;;;
20210323T040000;5.31;;;;;
20210323T050000;5.74;;;;;
20210323T060000;5.21;;;;;
20210323T070000;8.36;;;;;
20210323T080000;6.65;;;;;
20210323T090000;8.81;;;;;
20210323T100000;6.27;;;;;
20210323T110000;7.17;;;;;
20210323T120000;6.73;;;;;
20210323T130000;5.25;;;;;
20210323T140000;6.40;;;;;
20210323T150000;7.26;;;;;
20210323T160000;7.12;;;;;
20210323T170000;7.98;;;;;
20210323T180000;7.10;;;;;
20210323T190000;9.19;;;;;
20210323T200000;7.25;;;;;
20210323T210000;6.67;;;;;
20210323T220000;6.45;;;;;
20210323T230000;6.76;;;;;
20210324T000000;7.23;;;;;
20210324T010000;5.35;;;;;
20210324T020000;5.38;;;;;
20210324T030000;5.09;;;;;
20210324T040000;5.32;;;;;
20210324T050000;5.73;;;;;
20210324T060000;6.66;;;;;
20210324T070000;6.16;;;;;
20210324T080000;7.79;;;;;
20210324T090000;8.59;;;;;
20210324T100000;5.79;;;;;
20210324T110000;7.81;;;;;
20210324T120000;7.19;;;;;
20210324T130000;5.90;;;;;
20210324T140000;5.72;;;;;
20210324T150000;7.50;;;;;
