HCID;SwID;Time;SetPt;AllowedDev;AST;AET
Hotwater1;SODVIN_v1;20210409T000000;60;NULL;20210322T010000;20210409T090000
20210330T050000;6.46;;;;;
20210330T060000;7.71;;;;;
20210330T070000;6.66;;;;;
20210330T080000;9.30;;;;;
20210330T090000;13.60;;;;;
20210330T100000;9.82;;;;;
20210330T110000;9.83;;;;;
20210330T120000;9.84;;;;;
20210330T130000;10.88;;;;;
20210330T140000;10.23;;;;;
20210330T150000;9.69;;;;;
20210330T160000;11.52;;;;;
20210330T170000;9.74;;;;;
20210330T180000;11.81;;;;;
20210330T190000;9.71;;;;;
20210330T200000;9.72;;;;;
20210330T210000;9.03;;;;;
20210330T220000;9.81;;;;;
20210330T230000;9.00;;;;;
20210331T000000;8.88;;;;;
20210331T010000;7.84;;;;;
20210331T020000;6.92;;;;;
20210331T030000;7.39;;;;;
20210331T040000;7.05;;;;;
20210331T050000;6.62;;;;;
20210331T060000;6.64;;;;;
20210331T070000;7.59;;;;;
20210331T080000;7.64;;;;;
20210331T090000;10.15;;;;;
20210331T100000;14.41;;;;;
20210331T110000;9.80;;;;;
20210331T120000;9.82;;;;;
20210331T130000;9.84;;;;;
20210331T140000;8.94;;;;;
20210331T150000;9.85;;;;;
20210331T160000;7.96;;;;;
20210331T170000;8.82;;;;;
20210331T180000;9.82;;;;;
20210331T190000;8.98;;;;;
20210331T200000;9.80;;;;;
20210331T210000;8.88;;;;;
20210331T220000;8.07;;;;;
20210331T230000;7.83;;;;;
20210401T000000;9.85;;;;;
20210401T010000;8.28;;;;;
20210401T020000;7.30;;;;;
20210401T030000;6.57;;;;;
20210401T040000;7.07;;;;;
20210401T050000;7.12;;;;;
20210401T060000;6.67;;;;;
20210401T070000;6.75;;;;;
20210401T080000;7.40;;;;;
20210401T090000;9.06;;;;;
20210401T100000;12.81;;;;;
20210401T110000;10.21;;;;;
20210401T120000;11.65;;;;;
20210401T130000;11.81;;;;;
20210401T140000;9.81;;;;;
20210401T150000;9.81;;;;;
20210401T160000;9.77;;;;;
20210401T170000;9.73;;;;;
20210401T180000;8.87;;;;;
20210401T190000;9.76;;;;;
20210401T200000;9.70;;;;;
20210401T210000;11.72;;;;;
20210401T220000;9.73;;;;;
20210401T230000;9.00;;;;;
20210402T000000;8.05;;;;;
20210402T010000;9.89;;;;;
20210402T020000;9.81;;;;;
20210402T030000;8.45;;;;;
20210402T040000;7.39;;;;;
20210402T050000;6.62;;;;;
20210402T060000;6.51;;;;;
20210402T070000;7.83;;;;;
20210402T080000;7.67;;;;;
20210402T090000;8.89;;;;;
20210402T100000;9.85;;;;;
20210402T110000;11.94;;;;;
20210402T120000;9.84;;;;;
20210402T130000;9.86;;;;;
20210402T140000;11.98;;;;;
20210402T150000;9.82;;;;;
20210402T160000;14.88;;;;;
20210402T170000;9.81;;;;;
20210402T180000;9.72;;;;;
20210402T190000;8.93;;;;;
20210402T200000;11.88;;;;;
20210402T210000;8.04;;;;;
20210402T220000;8.89;;;;;
20210402T230000;7.98;;;;;
20210403T000000;7.96;;;;;
20210403T010000;7.79;;;;;
20210403T020000;6.73;;;;;
20210403T030000;6.93;;;;;
20210403T040000;7.02;;;;;
20210403T050000;6.88;;;;;
20210403T060000;6.72;;;;;
20210403T070000;6.60;;;;;
20210403T080000;8.83;;;;;
20210403T090000;8.95;;;;;
20210403T100000;12.01;;;;;
20210403T110000;9.01;;;;;
20210403T120000;9.84;;;;;
20210403T130000;9.10;;;;;
20210403T140000;9.71;;;;;
20210403T150000;10.55;;;;;
20210403T160000;10.53;;;;;
20210403T170000;9.81;;;;;
20210403T180000;12.25;;;;;
20210403T190000;9.11;;;;;
20210403T200000;9.79;;;;;
20210403T210000;8.81;;;;;
20210403T220000;9.76;;;;;
20210403T230000;9.56;;;;;
20210404T000000;7.32;;;;;
20210404T010000;8.97;;;;;
20210404T020000;7.24;;;;;
20210404T030000;7.40;;;;;
20210404T040000;6.54;;;;;
20210404T050000;6.43;;;;;
20210404T060000;6.49;;;;;
20210404T070000;6.51;;;;;
20210404T080000;7.68;;;;;
20210404T090000;7.65;;;;;
20210404T100000;8.84;;;;;
20210404T110000;7.95;;;;;
20210404T120000;12.05;;;;;
20210404T130000;9.75;;;;;
20210404T140000;8.98;;;;;
20210404T150000;8.96;;;;;
20210404T160000;9.82;;;;;
20210404T170000;12.08;;;;;
20210404T180000;8.85;;;;;
20210404T190000;11.54;;;;;
20210404T200000;9.68;;;;;
20210404T210000;9.73;;;;;
20210404T220000;8.09;;;;;
20210404T230000;9.83;;;;;
20210405T000000;9.07;;;;;
20210405T010000;7.80;;;;;
20210405T020000;6.60;;;;;
20210405T030000;6.62;;;;;
20210405T040000;7.28;;;;;
20210405T050000;6.45;;;;;
20210405T060000;6.38;;;;;
20210405T070000;7.39;;;;;
20210405T080000;6.79;;;;;
20210405T090000;8.94;;;;;
20210405T100000;9.80;;;;;
20210405T110000;9.71;;;;;
20210405T120000;9.77;;;;;
20210405T130000;9.81;;;;;
20210405T140000;11.02;;;;;
20210405T150000;9.80;;;;;
20210405T160000;9.81;;;;;
20210405T170000;8.85;;;;;
20210405T180000;9.84;;;;;
20210405T190000;12.66;;;;;
20210405T200000;9.83;;;;;
20210405T210000;9.79;;;;;
20210405T220000;9.81;;;;;
20210405T230000;8.94;;;;;
20210406T000000;11.04;;;;;
20210406T010000;9.85;;;;;
20210406T020000;9.84;;;;;
20210406T030000;9.04;;;;;
20210406T040000;6.84;;;;;
20210406T050000;6.51;;;;;
20210406T060000;8.04;;;;;
20210406T070000;9.48;;;;;
20210406T080000;9.74;;;;;
20210406T090000;9.84;;;;;
20210406T100000;12.75;;;;;
20210406T110000;9.81;;;;;
20210406T120000;9.83;;;;;
20210406T130000;9.05;;;;;
20210406T140000;8.65;;;;;
20210406T150000;8.33;;;;;
20210406T160000;8.99;;;;;
20210406T170000;9.77;;;;;
20210406T180000;12.03;;;;;
20210406T190000;8.80;;;;;
20210406T200000;9.68;;;;;
20210406T210000;9.72;;;;;
20210406T220000;8.72;;;;;
20210406T230000;7.71;;;;;
20210407T000000;9.76;;;;;
20210407T010000;9.75;;;;;
20210407T020000;8.87;;;;;
20210407T030000;7.54;;;;;
20210407T040000;7.51;;;;;
20210407T050000;6.65;;;;;
20210407T060000;0.00;;;;;
20210407T070000;16.87;;;;;
20210407T080000;8.85;;;;;
20210407T090000;8.85;;;;;
20210407T100000;8.96;;;;;
20210407T110000;9.82;;;;;
20210407T120000;8.76;;;;;
20210407T130000;9.02;;;;;
20210407T140000;7.86;;;;;
20210407T150000;9.78;;;;;
20210407T160000;11.72;;;;;
20210407T170000;8.67;;;;;
20210407T180000;9.75;;;;;
20210407T190000;10.90;;;;;
20210407T200000;9.83;;;;;
20210407T210000;7.70;;;;;
20210407T220000;8.75;;;;;
20210407T230000;7.65;;;;;
20210408T000000;8.94;;;;;
20210408T010000;6.53;;;;;
20210408T020000;7.45;;;;;
20210408T030000;6.65;;;;;
20210408T040000;6.95;;;;;
20210408T050000;7.46;;;;;
20210408T060000;7.51;;;;;
20210408T070000;9.04;;;;;
20210408T080000;9.82;;;;;
20210408T090000;11.74;;;;;
20210408T100000;7.73;;;;;
20210408T110000;9.82;;;;;
20210408T120000;9.75;;;;;
20210408T130000;8.88;;;;;
20210408T140000;9.84;;;;;
20210408T150000;10.87;;;;;
20210408T160000;9.82;;;;;
20210408T170000;9.73;;;;;
20210408T180000;9.69;;;;;
20210408T190000;9.72;;;;;
20210408T200000;8.97;;;;;
20210408T210000;12.34;;;;;
20210408T220000;8.69;;;;;
20210408T230000;9.78;;;;;
20210409T000000;8.64;;;;;
20210409T010000;8.04;;;;;
20210409T020000;9.73;;;;;
20210409T030000;8.69;;;;;
20210409T040000;7.42;;;;;
20210409T050000;7.50;;;;;
20210409T060000;6.90;;;;;
20210409T070000;9.03;;;;;
20210409T080000;9.80;;;;;
20210409T090000;9.80;;;;;
