HCID;SwID;Time;SetPt;AllowedDev;AST;AET
29_1;FutureHome_v1;20210501T000000;26;null;20210501T000000;20210531T235959
20210501T000100;292;;;;;
20210501T000230;292;;;;;
20210501T000400;292;;;;;
20210501T000530;292;;;;;
20210501T000700;292;;;;;
20210501T000830;292;;;;;
20210501T001000;292;;;;;
20210501T001130;292;;;;;
20210501T001300;292;;;;;
20210501T001430;292;;;;;
20210501T001600;292;;;;;
20210501T001730;292;;;;;
20210501T001900;292;;;;;
20210501T002030;292;;;;;
20210501T002200;292;;;;;
20210501T002330;292;;;;;
20210501T002500;292;;;;;
20210501T002630;292;;;;;
20210501T002800;292;;;;;
20210501T002930;292;;;;;
20210501T003100;292;;;;;
20210501T003230;292;;;;;
20210501T003400;292;;;;;
20210501T003530;292;;;;;
20210501T003700;292;;;;;
20210501T003830;292;;;;;
20210501T004000;292;;;;;
20210501T004130;292;;;;;
20210501T004300;292;;;;;
20210501T004430;292;;;;;
20210501T004600;292;;;;;
20210501T004730;292;;;;;
20210501T004900;292;;;;;
20210501T005030;292;;;;;
20210501T005200;292;;;;;
20210501T005330;292;;;;;
20210501T005500;292;;;;;
20210501T005630;292;;;;;
20210501T005800;292;;;;;
20210501T005930;292;;;;;
20210501T010100;292;;;;;
20210501T010230;292;;;;;
20210501T010400;292;;;;;
20210501T010530;292;;;;;
20210501T010700;292;;;;;
20210501T010830;292;;;;;
20210501T011000;292;;;;;
20210501T011130;292;;;;;
20210501T011300;292;;;;;
20210501T011430;292;;;;;
20210501T011600;292;;;;;
20210501T011730;292;;;;;
20210501T011900;292;;;;;
20210501T012030;292;;;;;
20210501T012200;292;;;;;
20210501T012330;292;;;;;
20210501T012500;292;;;;;
20210501T012630;292;;;;;
20210501T012800;292;;;;;
20210501T012930;292;;;;;
20210501T013100;292;;;;;
20210501T013230;292;;;;;
20210501T013400;292;;;;;
20210501T013530;292;;;;;
20210501T013700;292;;;;;
20210501T013830;292;;;;;
20210501T014000;292;;;;;
20210501T014130;292;;;;;
20210501T014300;292;;;;;
20210501T014430;292;;;;;
20210501T014600;292;;;;;
20210501T014730;292;;;;;
20210501T014900;292;;;;;
20210501T015030;292;;;;;
20210501T015200;292;;;;;
20210501T015330;292;;;;;
20210501T015500;292;;;;;
20210501T015630;292;;;;;
20210501T015800;292;;;;;
