09/05/2021-00:00:00 0.0
09/05/2021-00:11:31 -0.0348657024800999
09/05/2021-00:23:02 0.0
09/05/2021-00:34:33 0.0
09/05/2021-00:46:04 0.0
09/05/2021-00:57:35 0.0
09/05/2021-01:09:06 0.0
09/05/2021-01:20:37 0.0
09/05/2021-01:32:08 0.0
09/05/2021-01:43:39 0.0
09/05/2021-01:55:10 0.0
09/05/2021-02:06:41 0.0
09/05/2021-02:18:12 0.0
09/05/2021-02:29:43 0.0
09/05/2021-02:41:14 0.0
09/05/2021-02:52:45 0.0
09/05/2021-03:04:16 0.0
09/05/2021-03:15:47 0.0
09/05/2021-03:27:18 0.0
09/05/2021-03:38:49 0.0
09/05/2021-03:50:20 0.0
09/05/2021-04:01:51 0.0
09/05/2021-04:13:22 0.0
09/05/2021-04:24:53 0.0
09/05/2021-04:36:24 0.0
09/05/2021-04:47:55 0.0
09/05/2021-04:59:26 0.0
09/05/2021-05:10:57 0.0
09/05/2021-05:22:28 0.0
09/05/2021-05:33:59 0.0
09/05/2021-05:45:30 0.0
09/05/2021-05:57:01 0.0
09/05/2021-06:08:32 0.0
09/05/2021-06:20:03 0.0
09/05/2021-06:31:34 0.0
09/05/2021-06:43:05 0.0
09/05/2021-06:54:36 0.0
09/05/2021-07:06:07 0.0
09/05/2021-07:17:38 0.0
09/05/2021-07:29:09 0.0
09/05/2021-07:40:40 0.0
09/05/2021-07:52:11 0.2033832644580006
09/05/2021-08:03:42 0.7538961038782767
09/05/2021-08:15:13 0.6837662337500648
09/05/2021-08:26:44 0.40676652891600107
09/05/2021-08:38:15 0.47649793387302986
09/05/2021-08:49:46 1.0258330241193376
09/05/2021-09:01:17 1.0227272727308347
09/05/2021-09:12:48 1.0227272727340058
09/05/2021-09:24:19 1.2989632526722974
09/05/2021-09:35:50 1.2284349173728843
09/05/2021-09:47:21 1.9211910946148627
09/05/2021-09:58:52 1.0924586777066254
09/05/2021-10:10:23 2.045454545452685
09/05/2021-10:21:54 2.045454545452685
09/05/2021-10:33:25 2.055548996456218
09/05/2021-10:44:56 2.2639462809944333
09/05/2021-10:56:27 2.7966456400672213
09/05/2021-11:07:58 3.0681818181713645
09/05/2021-11:19:29 5.131069214866795
09/05/2021-11:31:00 10.985253099174528
09/05/2021-11:42:31 11.757907235623389
09/05/2021-11:54:02 12.27272727271611
09/05/2021-12:05:33 12.272727272747293
09/05/2021-12:17:04 12.291056670590946
09/05/2021-12:28:35 12.329231910944019
09/05/2021-12:40:06 13.233306122422345
09/05/2021-12:51:37 13.231534090878164
09/05/2021-13:03:08 13.290011131690477
09/05/2021-13:14:39 13.301098330252355
09/05/2021-13:26:10 13.30630797774772
09/05/2021-13:37:41 13.080449380171759
09/05/2021-13:49:12 13.01071797521156
09/05/2021-14:00:43 12.627195247930459
09/05/2021-14:12:14 12.69692665289066
09/05/2021-14:23:45 12.27272727271611
09/05/2021-14:35:16 12.83638946281106
09/05/2021-14:46:47 12.27272727271611
09/05/2021-14:58:18 11.953125000013836
09/05/2021-15:09:49 12.022856404953425
09/05/2021-15:21:20 12.092587809910453
09/05/2021-15:32:51 11.250000000013022
09/05/2021-15:44:22 11.209323347076763
09/05/2021-15:55:53 11.220945247946272
09/05/2021-16:07:24 10.232949907226315
