EVID;EntryTime;ExitTime;Distance;MakeM
cf4a9413;20210107T171434;null;null;Nissan Leaf
7b4e3fd3;20210107T172236;null;null;Opel Ampera-e
a9bbf406;20210113T084047;null;null;Kia Soul EV 2016
d5f08e21;20210207T144011;null;null;Mitsubishi i-miev
14c0911f;20210316T182744;null;null;Nissan Leaf
23235ae2;20210316T182746;null;null;C-zero
5951be4d;20210317T111753;null;null;Mitsubishi Outlander 
7f245e44;20210318T180739;null;null;Tesla model 3
12358e5a;20210321T211422;null;null;Nissan leaf
0dbc4352;20210406T135307;null;null;E-Golf 
a85b7c44;20210414T142757;null;null;Audi a3
7f245e44;20210503T190632;null;null;Tesla model 3
6a727cdc;20210505T135506;null;null;Renault Zoe
