MakeM;MaxRes;Type
5BF6D516-417A-4858-B0AA-81CE00FE7F6D;null;"[\"electricity consumption\",\"electricity production\"]"
3B076B51-1FC8-4BDC-B11D-5D76B1A64B33;0.01;"[\"electricity consumption\"]"
4250D42A-9BE4-44B8-8E2C-E6D8AEC3B014;0.01;"[\"electricity consumption\"]"
5BBBEFC7-56F0-4ECB-839C-A20A09DE556F;null;"[\"electricity consumption\",\"electricity production\"]"
53E48E18-5A28-4C21-95B9-6F05EA7827FB;10;"[\"electricity consumption\",\"electricity production\"]"
29107397-CDBB-4228-9A12-B660CAA9A22D;0.01;"[\"electricity consumption\"]"
