BatID;LOC;EntryTime;ExitTime;MakeM;Year;InvMakeM;InvNum
023ba88f-65fe-4424-a04e-1301940851ec;P2D1L1;20200101T122144;null;47ba4eb2-1abc-4778-a14d-8574a952d66f;2010;749b4b0a-211f-44b6-9001-273f021024d6;3
819c0dfd-0165-4f17-a967-95cafffa9491;P2D1L3;20200101T122144;null;72528559-b5f2-491b-aaf1-9e71ce0040c5;2020;f13b2933-7875-4522-b65e-b63474e366d8;1
d9254f3b-2baf-47a2-a783-d79f80fdee0e;P2D1L3;20200101T122144;null;72528559-b5f2-491b-aaf1-9e71ce0040c5;2020;f13b2933-7875-4522-b65e-b63474e366d8;1
