MakeM;Year;Type;PeakPower;Size;Noct;Albedo;TempCoeffP;TempCoeffU;TempCoeffI
9E4F72F7-025E-4889-A8AE-3EE1FAF2F00C;2010;SI:poly;0.245;1.6;25;null;-0.45;-0.32;0.04
1266FB8C-EE31-44CA-96C1-9AFA73EC573C;2005;SI:mono;0.195;1.2;null;null;null;null;null
